,Open,High,Low,Close,Volume
2026-03-16,169.52000427246094,170.86000061035156,167.5399932861328,169.9600067138672,855483.0
2026-03-17,168.94000244140625,172.60000610351562,168.3000030517578,170.32000732421875,1044716.0
2026-03-18,171.97999572753906,174.10000610351562,170.16000366210938,170.3000030517578,1707247.0
2026-03-19,167.82000732421875,168.0399932861328,161.8000030517578,163.9600067138672,1962764.0
2026-03-20,165.1999969482422,166.02000427246094,159.67999267578125,160.9199981689453,3167914.0
2026-03-23,158.24000549316406,170.32000732421875,157.8800048828125,166.39999389648438,2108959.0
2026-03-24,166.0,166.4199981689453,161.55999755859375,164.55999755859375,1186305.0
2026-03-25,167.8000030517578,169.17999267578125,166.5,168.4600067138672,1202507.0
2026-03-26,166.77999877929688,166.83999633789062,163.36000061035156,163.39999389648438,1311132.0
2026-03-27,163.94000244140625,164.33999633789062,159.9600067138672,160.4199981689453,1717713.0
2026-03-30,159.33999633789062,161.0800018310547,157.8000030517578,159.17999267578125,1497455.0
2026-03-31,158.47999572753906,162.0800018310547,157.4199981689453,160.82000732421875,1597791.0
2026-04-01,167.82000732421875,168.86000061035156,164.47999572753906,167.89999389648438,2248144.0
2026-04-02,164.13999938964844,167.1999969482422,162.74000549316406,165.13999938964844,1217733.0
2026-04-07,167.9199981689453,168.0,160.82000732421875,162.6199951171875,1190807.0
2026-04-08,174.8000030517578,176.36000061035156,172.5800018310547,175.25999450683594,2385184.0
2026-04-09,173.8000030517578,174.36000061035156,168.94000244140625,170.8000030517578,1551743.0
2026-04-10,170.63999938964844,172.6999969482422,169.25999450683594,169.5,1278545.0
2026-04-13,167.67999267578125,170.5,165.17999267578125,170.4600067138672,966994.0
2026-04-14,171.63999938964844,174.3000030517578,171.0399932861328,172.75999450683594,907089.0
2026-04-15,172.24000549316406,172.55999755859375,170.0800018310547,171.67999267578125,926859.0
2026-04-16,172.63999938964844,176.05999755859375,169.0800018310547,171.77999877929688,1240790.0
2026-04-17,170.97999572753906,181.9600067138672,170.75999450683594,179.47999572753906,1859573.0
2026-04-20,176.5399932861328,177.82000732421875,175.24000549316406,176.3800048828125,1273934.0
2026-04-21,173.82000732421875,175.52000427246094,168.63999938964844,170.52000427246094,1746623.0
2026-04-22,171.0,171.6999969482422,166.24000549316406,166.24000549316406,1162398.0
2026-04-23,165.3000030517578,169.27999877929688,163.86000061035156,168.16000366210938,1024839.0
2026-04-24,165.1199951171875,167.9600067138672,162.22999572753906,165.9199981689453,1424533.0
2026-04-27,165.97999572753906,167.44000244140625,164.9199981689453,165.55999755859375,1049454.0
2026-04-28,165.27999877929688,167.33999633789062,164.3800048828125,166.10000610351562,961853.0
2026-04-29,166.10000610351562,176.52000427246094,166.10000610351562,174.6199951171875,2334773.0
2026-04-30,172.4199981689453,177.72000122070312,171.82000732421875,174.8800048828125,1997905.0
2026-05-04,174.74000549316406,179.6199951171875,174.1999969482422,176.17999267578125,1934397.0
2026-05-05,176.1999969482422,180.86000061035156,174.66000366210938,177.86000061035156,1401883.0
2026-05-06,179.8000030517578,191.9199981689453,179.3000030517578,188.5,2670945.0
2026-05-07,188.86000061035156,190.8000030517578,183.44000244140625,183.44000244140625,1289497.0
2026-05-08,181.74000549316406,183.0399932861328,178.33999633789062,179.8800048828125,1218981.0
2026-05-11,178.97999572753906,179.3800048828125,174.24000549316406,175.47999572753906,1581999.0
2026-05-12,173.3800048828125,174.60000610351562,171.67999267578125,172.52000427246094,1358080.0
2026-05-13,173.94000244140625,174.47999572753906,170.89999389648438,173.44000244140625,906709.0
2026-05-14,174.1999969482422,174.82000732421875,171.82000732421875,172.74000549316406,930425.0
2026-05-15,170.66000366210938,171.82000732421875,167.47999572753906,167.67999267578125,1020719.0
2026-05-18,165.5,172.13999938964844,164.74000549316406,170.3800048828125,1305197.0
2026-05-19,170.94000244140625,174.67999267578125,169.10000610351562,169.10000610351562,1174887.0
2026-05-20,169.44000244140625,175.6999969482422,166.74000549316406,173.36000061035156,1337913.0
2026-05-21,172.89999389648438,172.94000244140625,165.9600067138672,165.9600067138672,1778622.0
2026-05-22,168.52000427246094,170.4199981689453,166.4600067138672,169.52000427246094,1172701.0
2026-05-25,172.39999389648438,175.39999389648438,172.32000732421875,174.25999450683594,1099915.0
2026-05-26,174.8800048828125,175.22000122070312,172.16000366210938,172.27999877929688,908246.0
2026-05-27,172.27999877929688,177.83999633789062,171.66000366210938,173.6999969482422,1152408.0
2026-05-28,173.0399932861328,178.9600067138672,172.27999877929688,177.6999969482422,1108113.0
2026-05-29,180.44000244140625,183.02000427246094,179.02000427246094,179.6999969482422,3476455.0
2026-06-01,177.3000030517578,178.60000610351562,171.5800018310547,173.17999267578125,1263110.0
2026-06-02,174.97999572753906,176.3000030517578,172.0,172.67999267578125,1020007.0
2026-06-03,170.6999969482422,170.94000244140625,167.89999389648438,169.3000030517578,1155116.0
2026-06-04,169.67999267578125,177.10000610351562,169.67999267578125,177.0,1398201.0
2026-06-05,177.97999572753906,179.63999938964844,176.83999633789062,178.9600067138672,1239190.0
2026-06-08,173.10000610351562,179.25999450683594,172.47999572753906,176.9600067138672,997134.0
2026-06-09,176.13999938964844,179.0800018310547,173.72000122070312,175.74000549316406,1157413.0
2026-06-10,176.25999450683594,176.6199951171875,171.74000549316406,174.9600067138672,1227027.0
2026-06-11,175.5800018310547,176.94000244140625,174.3800048828125,175.25999450683594,916852.0
2026-06-12,180.6199951171875,183.72000122070312,177.77999877929688,179.27999877929688,1384413.0
2026-06-15,183.0800018310547,187.24000549316406,182.8000030517578,183.67999267578125,1443230.0
2026-06-16,184.5,186.94000244140625,184.24000549316406,185.3000030517578,818482.0
2026-06-17,185.27999877929688,188.5800018310547,185.0,187.02000427246094,1157152.0
2026-06-18,189.24000549316406,193.77999877929688,188.24000549316406,191.94000244140625,2184091.0
2026-06-19,191.25999450683594,193.24000549316406,189.4199981689453,189.4199981689453,1937010.0
2026-06-22,190.24000549316406,191.0,187.1199951171875,189.52000427246094,1000961.0
2026-06-23,188.47999572753906,194.86000061035156,187.5,193.25999450683594,1225955.0
2026-06-24,192.8000030517578,195.10000610351562,191.5399932861328,195.10000610351562,1232859.0
2026-06-25,195.02000427246094,196.89999389648438,193.24000549316406,195.0800018310547,1052320.0
2026-06-26,193.97999572753906,194.5,190.33999633789062,191.89999389648438,855338.0
2026-06-29,192.16000366210938,192.16000366210938,189.22000122070312,191.5800018310547,776438.0
2026-06-30,192.4199981689453,195.1999969482422,191.75999450683594,194.5399932861328,1361858.0
2026-07-01,195.1999969482422,199.75999450683594,194.9199981689453,198.22000122070312,1648432.0
2026-07-02,197.39999389648438,204.85000610351562,197.27999877929688,203.89999389648438,1545828.0
2026-07-03,208.0,209.1999969482422,204.9499969482422,206.14999389648438,794284.0
2026-07-06,206.0,210.25,206.0,209.39999389648438,1118223.0
2026-07-07,209.10000610351562,210.9499969482422,203.5,203.9499969482422,1192922.0
2026-07-08,201.9499969482422,202.10000610351562,197.36000061035156,197.36000061035156,1337317.0
2026-07-09,200.0,200.0500030517578,194.0399932861328,196.52000427246094,1060745.0
2026-07-10,196.94000244140625,197.33999633789062,194.72000122070312,197.25999450683594,692005.0
2026-07-13,195.5800018310547,196.66000366210938,193.94000244140625,195.27999877929688,648382.0
2026-07-14,193.39999389648438,195.94000244140625,191.6199951171875,195.94000244140625,700561.0
2026-07-15,193.52000427246094,196.6999969482422,192.52000427246094,195.3800048828125,886781.0
2026-07-16,196.27999877929688,196.47999572753906,193.94000244140625,195.6199951171875,744940.0
2026-07-17,193.1999969482422,194.6199951171875,191.83999633789062,194.32000732421875,976991.0
2026-07-20,192.8800048828125,194.24000549316406,191.33999633789062,191.77999877929688,817166.0
