,Open,High,Low,Close,Volume
2026-03-12,404.6300048828125,406.1199951171875,401.7099914550781,401.8599853515625,27263900
2026-03-13,401.0,404.79998779296875,394.25,395.54998779296875,26848000
2026-03-16,398.07000732421875,400.6300048828125,394.7900085449219,399.95001220703125,27733700
2026-03-17,400.2699890136719,404.3999938964844,397.75,399.4100036621094,26228300
2026-03-18,397.1300048828125,398.0,391.0,391.7900085449219,25908500
2026-03-19,390.1000061035156,392.489990234375,387.05999755859375,389.0199890136719,25138800
2026-03-20,386.7900085449219,387.0,380.1199951171875,381.8699951171875,50853200
2026-03-23,383.8999938964844,387.2099914550781,381.67999267578125,383.0,29680100
2026-03-24,382.3599853515625,382.4700012207031,371.8500061035156,372.739990234375,42733600
2026-03-25,376.9200134277344,377.05999755859375,369.6300048828125,371.0400085449219,31181200
2026-03-26,370.82000732421875,374.7200012207031,365.19000244140625,365.9700012207031,36836600
2026-03-27,361.8999938964844,362.45001220703125,356.510009765625,356.7699890136719,37883400
2026-03-30,361.8999938964844,365.3599853515625,356.2799987792969,358.9599914550781,44797000
2026-03-31,364.54998779296875,372.8999938964844,363.07000732421875,370.1700134277344,45244400
2026-04-01,373.489990234375,373.989990234375,368.20001220703125,369.3699951171875,29417200
2026-04-02,367.2099914550781,373.6400146484375,364.1499938964844,373.4599914550781,24099100
2026-04-06,373.489990234375,373.7300109863281,369.5,372.8800048828125,16146600
2026-04-07,370.3399963378906,372.45001220703125,366.55999755859375,372.2900085449219,21443300
2026-04-08,384.9800109863281,385.0,371.4100036621094,374.3299865722656,33064800
2026-04-09,372.5,373.5,367.04998779296875,373.07000732421875,30435300
2026-04-10,372.9800109863281,375.6400146484375,370.0299987792969,370.8699951171875,28111100
2026-04-13,373.6099853515625,384.5400085449219,371.0199890136719,384.3699951171875,35745800
2026-04-14,387.9200134277344,394.69000244140625,386.5199890136719,393.1099853515625,37504500
2026-04-15,398.0,414.3699951171875,396.7300109863281,411.2200012207031,45063400
2026-04-16,419.8599853515625,420.82000732421875,412.1400146484375,420.260009765625,41642400
2026-04-17,424.82000732421875,431.5799865722656,420.69000244140625,422.7900085449219,48568200
2026-04-20,421.1499938964844,423.3299865722656,416.29998779296875,418.07000732421875,27582200
2026-04-21,420.239990234375,427.17999267578125,417.20001220703125,424.1600036621094,32048500
2026-04-22,426.19000244140625,433.70001220703125,423.6700134277344,432.9200134277344,29378200
2026-04-23,419.8900146484375,423.6600036621094,411.4100036621094,415.75,38308000
2026-04-24,416.9700012207031,424.95001220703125,415.79998779296875,424.6199951171875,27457400
2026-04-27,422.3800048828125,427.1099853515625,417.07000732421875,424.82000732421875,30867300
2026-04-28,424.57000732421875,429.9200134277344,421.8999938964844,429.25,30438100
2026-04-29,424.5799865722656,426.82000732421875,420.2900085449219,424.4599914550781,38288300
2026-04-30,410.80999755859375,414.4200134277344,398.010009765625,407.7799987792969,70909400
2026-05-01,412.79998779296875,417.1099853515625,410.44000244140625,414.44000244140625,31372400
2026-05-04,411.5400085449219,420.7799987792969,410.79998779296875,413.6199951171875,28066500
2026-05-05,415.32000732421875,416.7799987792969,408.79998779296875,411.3800048828125,25700900
2026-05-06,408.0,418.4200134277344,405.1099853515625,413.9599914550781,30285900
2026-05-07,420.1099853515625,427.9800109863281,418.760009765625,420.7699890136719,34942400
2026-05-08,417.3900146484375,418.6300048828125,414.0,415.1199951171875,33383800
2026-05-11,407.8699951171875,412.69000244140625,405.5,412.6600036621094,35657900
2026-05-12,414.4800109863281,415.5,406.6400146484375,407.7699890136719,38594200
2026-05-13,403.20001220703125,406.30999755859375,401.0299987792969,405.2099914550781,29667100
2026-05-14,404.4800109863281,411.8399963378906,400.8800048828125,409.42999267578125,27077500
2026-05-15,414.2699890136719,428.1700134277344,412.9100036621094,421.9200134277344,50771200
2026-05-18,416.6199951171875,425.1199951171875,415.6099853515625,423.5400085449219,32564100
2026-05-19,429.8999938964844,432.70001220703125,416.489990234375,417.4200134277344,33018700
2026-05-20,414.1700134277344,422.1000061035156,411.29998779296875,421.05999755859375,27864000
2026-05-21,424.75,426.3399963378906,415.7099914550781,419.0899963378906,31393500
2026-05-22,419.5400085449219,424.3999938964844,416.3299865722656,418.57000732421875,22390300
2026-05-26,416.42999267578125,419.7699890136719,413.0199890136719,416.0299987792969,30398000
2026-05-27,411.010009765625,415.94000244140625,409.5799865722656,412.6700134277344,28901500
2026-05-28,412.9800109863281,429.489990234375,412.6700134277344,426.989990234375,47250500
2026-05-29,432.54998779296875,450.3299865722656,432.3599853515625,450.239990234375,79654400
2026-06-01,464.8399963378906,466.32000732421875,458.2699890136719,460.5199890136719,53628900
2026-06-02,446.8800048828125,453.5,440.42999267578125,441.30999755859375,37036800
2026-06-03,438.45001220703125,440.3900146484375,424.25,427.3399963378906,39037000
2026-06-04,435.80999755859375,436.1499938964844,426.4100036621094,428.04998779296875,26899500
2026-06-05,428.3399963378906,429.4700012207031,414.3999938964844,416.6700134277344,34782200
2026-06-08,414.1400146484375,417.1600036621094,408.55999755859375,411.739990234375,32086700
2026-06-09,409.0299987792969,411.9800109863281,398.4800109863281,403.4100036621094,35317300
2026-06-10,398.54998779296875,405.0400085449219,397.1600036621094,397.3599853515625,32576000
2026-06-11,395.2099914550781,396.8500061035156,384.0,390.3399963378906,47224100
2026-06-12,391.42999267578125,391.739990234375,382.2699890136719,390.739990234375,34865800
2026-06-15,396.79998779296875,401.75,392.8500061035156,399.760009765625,32266400
2026-06-16,395.7900085449219,396.8399963378906,390.69000244140625,393.8299865722656,31506800
2026-06-17,390.25,390.3699951171875,377.32000732421875,378.9100036621094,41987800
2026-06-18,377.82000732421875,381.3699951171875,373.2799987792969,379.3999938964844,59714200
2026-06-22,375.739990234375,381.6300048828125,367.07000732421875,367.3399963378906,45171100
2026-06-23,372.3800048828125,377.2200012207031,370.6700134277344,373.94000244140625,40647600
2026-06-24,371.57000732421875,378.8800048828125,364.7799987792969,365.4599914550781,44509900
2026-06-25,362.7699890136719,364.2300109863281,349.20001220703125,352.8299865722656,66179000
2026-06-26,357.1499938964844,376.6099853515625,355.42999267578125,372.9700012207031,186201600
2026-06-29,377.5,380.5,359.8999938964844,368.57000732421875,51229900
2026-06-30,371.0299987792969,374.1499938964844,367.45001220703125,373.0199890136719,44945700
2026-07-01,380.8299865722656,388.8299865722656,374.8900146484375,384.2799987792969,48065800
2026-07-02,384.4800109863281,392.20001220703125,383.70001220703125,390.489990234375,42128900
2026-07-06,387.0400085449219,389.1499938964844,381.2200012207031,386.739990234375,34224500
2026-07-07,392.489990234375,395.57000732421875,388.2200012207031,388.8399963378906,29297500
2026-07-08,384.0299987792969,385.30999755859375,381.3299865722656,383.3399963378906,25908300
2026-07-09,374.45001220703125,384.6499938964844,373.3500061035156,384.3599853515625,31083200
2026-07-10,387.79998779296875,391.9100036621094,381.5,385.1000061035156,24644600
2026-07-13,387.75,393.6499938964844,384.1499938964844,390.989990234375,28914900
2026-07-14,382.82000732421875,388.19000244140625,378.6499938964844,384.92999267578125,27863900
2026-07-15,387.79998779296875,398.9599914550781,386.3999938964844,395.6300048828125,36253700
2026-07-16,398.30999755859375,405.989990234375,392.04998779296875,401.1000061035156,37047400
2026-07-17,394.8599853515625,398.3900146484375,389.3900146484375,393.82000732421875,33049800
2026-07-20,391.4100036621094,403.17999267578125,389.6499938964844,402.2900085449219,27915800
2026-07-21,398.80999755859375,401.4700012207031,396.32000732421875,397.75,24126600
2026-07-22,399.5799865722656,401.0,386.9599914550781,390.3399963378906,28142500
2026-07-23,389.9700012207031,391.7799987792969,377.3900146484375,381.5799865722656,30351800
2026-07-24,387.04998779296875,389.0299987792969,380.6499938964844,381.70001220703125,27659400
2026-07-27,390.0799865722656,394.20001220703125,387.989990234375,389.1000061035156,27856200
2026-07-28,393.1600036621094,400.32000732421875,391.29998779296875,393.3500061035156,32367500
2026-07-29,393.3999938964844,401.25,388.739990234375,390.5400085449219,47209000
2026-07-30,437.8999938964844,458.69000244140625,432.44000244140625,451.1000061035156,110160700
2026-07-31,450.0,466.8399963378906,449.3299865722656,464.7200012207031,60846000
2026-08-03,476.1300048828125,491.6499938964844,475.0,487.6499938964844,66762100
2026-08-04,480.8999938964844,499.44000244140625,479.1700134277344,492.80999755859375,50455500
2026-08-05,496.3599853515625,498.239990234375,485.67999267578125,487.4599914550781,33388900
2026-08-06,488.54998779296875,501.55999755859375,488.5199890136719,499.8599853515625,36441500
2026-08-07,499.2099914550781,505.17999267578125,498.7300109863281,499.989990234375,28846200
2026-08-10,503.44000244140625,513.72998046875,502.2699890136719,506.05999755859375,31206100
2026-08-11,504.3299865722656,505.3299865722656,499.54998779296875,503.80999755859375,23049800
2026-08-12,499.989990234375,501.5,491.5199890136719,492.42999267578125,29001500
2026-08-13,493.2699890136719,501.3399963378906,493.010009765625,496.8800048828125,23039000
2026-08-14,496.3599853515625,500.010009765625,493.9200134277344,495.3999938964844,16217600
2026-08-17,490.1400146484375,492.6600036621094,478.4100036621094,480.3500061035156,29635800
2026-08-18,481.5400085449219,484.2699890136719,477.1499938964844,481.6300048828125,24087600
2026-08-19,480.07000732421875,489.29998779296875,479.3599853515625,484.30999755859375,19961900
2026-08-20,483.29998779296875,484.1600036621094,479.5,481.1499938964844,20020800
2026-08-21,479.8800048828125,486.3599853515625,478.5299987792969,483.239990234375,22510800
2026-08-24,483.2099914550781,490.6099853515625,481.8599853515625,487.30999755859375,17230800
2026-08-25,485.44000244140625,492.44000244140625,484.29998779296875,491.7099914550781,19519000
2026-08-26,487.8500061035156,497.3999938964844,487.30999755859375,496.3699951171875,20758900
2026-08-27,494.8800048828125,506.4800109863281,490.0799865722656,505.05999755859375,28688800
2026-08-28,505.3299865722656,517.780029296875,504.8699951171875,513.530029296875,29207300
2026-08-31,510.3800048828125,512.1900024414062,506.3900146484375,507.2900085449219,27208900
2026-09-01,497.5199890136719,505.9700012207031,496.7799987792969,501.0199890136719,21046900
2026-09-02,499.8500061035156,500.2699890136719,493.80999755859375,496.82000732421875,15336100
2026-09-03,501.6600036621094,515.6500244140625,500.79998779296875,510.1199951171875,24125900
2026-09-04,510.0,511.0,499.3599853515625,499.70001220703125,18101800
2026-09-08,493.010009765625,495.19000244140625,490.1499938964844,493.95001220703125,18882300
2026-09-09,493.07000732421875,494.3900146484375,489.79998779296875,491.6499938964844,12889600
2026-09-10,488.32000732421875,494.5199890136719,486.0,492.44000244140625,16038800
2026-09-11,495.6499938964844,498.9700012207031,492.5799865722656,495.6300048828125,14510500
