ticker,nom,prix,variation_5j_%,volatilite_ann_%,score_fondamental,momentum,sentiment,alpha_score,signal,completude_%,rsi_14,nb_news
AAPL,Apple Inc.,332.27,3.84,23.9,75.83,0.83,1.11,0.97,BUY,100.0,70.6,10
SAP.DE,SAP SE                        I,185.96,2.34,37.2,75.19,0.306,1.86,0.9,BUY,100.0,48.8,10
AMD,"Advanced Micro Devices, Inc.",516.13,8.07,52.6,83.92,0.715,0.14,0.86,BUY,100.0,62.6,10
PLTR,Palantir Technologies Inc.,167.23,-4.07,51.4,93.98,-0.596,1.58,0.78,BUY,100.0,40.8,10
AVGO,Broadcom Inc.,361.99,1.14,37.5,91.44,-0.279,0.68,0.69,BUY,100.0,45.1,10
META,"Meta Platforms, Inc.",648.03,5.07,37.1,72.66,0.542,0.52,0.68,BUY,100.0,83.9,10
SNOW,Snowflake Inc.,328.99,-2.43,72.1,59.52,0.147,1.68,0.55,BUY,92.9,48.6,10
MSFT,Microsoft Corporation,495.63,-0.81,21.7,67.13,0.199,0.64,0.48,BUY,100.0,57.5,10
TTE.PA,TOTALENERGIES,79.93,2.8,21.0,63.13,0.607,0.0,0.45,BUY,100.0,66.5,10
GOOGL,Alphabet Inc.,338.5,0.01,19.3,76.19,-0.284,0.3,0.37,HOLD,100.0,44.3,10
NVDA,NVDA,218.29,-5.24,44.5,83.08,-0.623,0.33,0.35,HOLD,100.0,52.4,10
TSLA,"Tesla, Inc.",365.44,3.21,50.8,56.18,0.413,-0.15,0.23,HOLD,100.0,51.0,10
CRWD,"CrowdStrike Holdings, Inc.",206.74,-2.98,94.5,62.14,-0.521,0.79,0.14,HOLD,92.9,56.1,10
OR.PA,L'OREAL,380.8,-1.91,21.7,60.03,-0.544,0.56,0.05,HOLD,100.0,40.3,10
MC.PA,LVMH,413.9,-2.97,28.6,57.75,-0.55,0.56,0.02,HOLD,100.0,25.0,10
AIR.PA,AIRBUS SE,195.32,-2.68,19.6,58.71,-0.568,0.36,-0.02,HOLD,100.0,37.7,10
AMZN,"Amazon.com, Inc.",256.78,-0.67,26.2,56.13,-0.366,-0.34,-0.12,HOLD,100.0,48.0,10
